player_name,episode,map_code,celda_250,tic,pos_x,pos_y,pos_z,angulo,momentum_x,momentum_y,momentum_z,fov,salud,armadura,municion
Juan,1,E1M2,"(-7,4)",39225,-1507,1055,-121,285.57,0,-5,0,90,193,200,150
Juan,1,E1M2,"(-5,-5)",39241,-1019,-1098,-183,63.97,0,7,0,90,200,200,385
Juan,1,E1M2,"(-7,4)",39260,-1507,1052,-112,285.68,1,-6,0,90,193,200,150
Juan,1,E1M2,"(-5,-5)",39276,-1024,-1065,-183,63.12,1,5,0,90,200,200,385
Juan,1,E1M2,"(-7,4)",39295,-1550,1054,-112,286.24,2,-6,0,90,193,200,150
Juan,1,E1M2,"(-5,-5)",39311,-1064,-1072,-183,65.19,2,4,0,90,200,200,385
Juan,1,E1M2,"(-7,4)",39330,-1573,1045,-112,298.16,2,-3,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39346,-1053,-1069,-183,61.58,1,4,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",39365,-1598,946,-121,310.05,3,-3,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39381,-1042,-1071,-183,57.91,2,4,0,90,200,200,400
Juan,1,E1M2,"(-7,4)",39400,-1578,1047,-121,332.59,4,0,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39416,-1006,-1107,-183,55.4,3,5,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",39435,-1603,907,-121,323.28,4,-1,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39451,-1026,-1135,-183,62.17,1,6,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",39470,-1472,957,-144,334.87,3,0,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39486,-1026,-1135,-183,58.26,0,4,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",39505,-1488,914,-144,332.27,-2,-1,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39521,-1037,-1135,-183,61.67,1,4,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",39540,-1488,914,-183,358.19,0,2,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39556,-1037,-1135,-183,64.32,1,4,0,90,200,200,400
Juan,1,E1M2,"(-6,3)",39575,-1498,900,-183,16.68,2,4,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39591,-1081,-1204,-183,62.79,2,4,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",39610,-1544,946,-183,35.21,2,3,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39626,-1081,-1204,-183,58.79,0,3,0,90,200,200,397
Juan,1,E1M2,"(-7,3)",39645,-1555,944,-183,33.66,2,2,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39661,-1061,-1185,-183,58.47,1,6,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",39680,-1550,857,-183,35.18,5,4,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39696,-1061,-1185,-183,60.43,0,6,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",39715,-1581,859,-183,46.13,2,4,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39731,-1061,-1185,-183,64.56,0,6,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",39750,-1579,872,-183,45.15,2,4,0,90,192,200,150
Juan,1,E1M2,"(-5,-5)",39766,-1061,-1185,-183,65.84,0,5,0,90,200,200,400
Juan,1,E1M2,"(-7,3)",39785,-1582,835,-183,46.71,4,3,0,90,192,200,150
